what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397631200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397635595
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308397643728
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308397646597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308397665746
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308397678218
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308397681366
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308397681400
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308397684371
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308397685016
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308397695924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397696446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397723799
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308397724719
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308397727921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397729291
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397730601
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308397730663
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308397735539
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308397735803
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308397743337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397745756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397823084
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397824786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397828362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397829343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397839901
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308397844265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397845887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397953119
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308397955329
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308397955596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308397961425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397962110
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397980156
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308397981739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397984109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397984167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397985608
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1308397985667
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308397987188
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308397990801
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308397992362
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308397992620
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308397992641
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308397995744
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308397996288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308397996890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308398009313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308398009873
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308410998620
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308411000267
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411001835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411002095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411014553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411017399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411017455
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411018297
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411018300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411025041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411025101
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411063037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1308411063102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411074792
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411074849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411076327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1308411076383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411118365
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411118421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411119924
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1308411119988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411125672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411125729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411133342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1308411133406
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308411138867
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308411138943
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411146627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411158087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411164417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411175999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411183651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411185531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411194881
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411209356
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411224600
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411226950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411242569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411243643
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411244606
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1308411244753
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1308411248008
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411255814
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411258934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411295510
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411297804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411305160
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411307782
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411312034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411317456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411329144
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411332295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411334105
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411338708
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411340641
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1308411341770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411367058
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411372626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411382283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411384734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411403769
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1308411404852
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411476644
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411487880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411505864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411515169
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411523333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411526028
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411527453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411531107
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411535181
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411539219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411570600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411571668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411591545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411592163
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411595186
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411596459
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411606873
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411607922
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411652930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411654518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411660809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411664620
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411665792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411671106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411678746
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411679886
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411732589
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411734498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411746324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411748552
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411769037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411782762
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411801947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411802534
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411808309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411812379
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411814566
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411819045
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411819990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411823409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411825248
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411830851
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411833567
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411836295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411837722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411839465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308411887181
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308411888662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308411904854
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411913939
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308411922642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411923575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411923648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411931638
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1308411931709
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308411933395
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308411933462
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1308411936458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411939750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411942122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411945833
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411948879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411954124
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411960993
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308411983454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308411991858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308412032864
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308412041201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308412042665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308412043848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308412044588
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308412046168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308412051047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308412053419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308412054273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308412060755
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308412063144
